SampleID,Diversidad_Shannon,Firmicutes_%,Bacteroidetes_%,Actinobacteria_%,Proteobacteria_%,F_B_ratio
000015057.fixed93,4.14538981,32.27994499,7.970742686,39.51612903,18.55463866,4.049803922
000015341.fixed138,4.978642891,57.41889736,14.61493656,16.73462152,3.940537392,3.92878184
000016233.fixed384,4.941973546,72.45520396,22.33130004,2.325581395,2.563858178,3.244558259
000016186.fixed354,3.935281127,68.12395659,24.73914858,3.860601002,3.130217028,2.753690426
000017667.fixed553,4.157562954,72.12715153,22.39080688,0.442742016,0.064670182,3.221284159
000017335.fixed776,4.173813179,54.71643623,30.62705317,13.56268727,0.98191401,1.786539368
000017352.fixed772,4.135503953,60.33731458,36.82915265,2.235217087,0.548644194,1.63830309
1142.107587,4.131026217,65.60761599,9.898491713,5.539943798,0.957733555,6.628041715
6944.113193,2.070326311,86.52212329,5.20628016,3.235234147,3.860531503,16.61879896
3949.113181,0.943837071,83.17210633,0.088324361,16.52506729,0.189266487,941.6666667
7749.113043,3.853370847,65.02757353,21.81372549,11.71364379,1.011029412,2.981039326
000015217.fixed99,4.841608493,32.50386797,7.813305828,16.12515042,33.08406395,4.160066007
000015403.fixed170,4.125985962,39.82104065,4.086065998,39.39174511,13.07023896,9.74556962
000015342.fixed139,3.560294934,31.61609907,2.097007224,53.01547988,12.36738906,15.07677165
000012284.fixed298,4.519424149,50.63746959,35.16301703,6.053527981,4.866180049,1.440077498
000007762.fixed852,3.077995317,25.29983588,2.360813029,45.36043429,15.61671506,10.71657754
000015186.fixed1020,3.04455171,52.47524752,1.195190948,40.2758133,4.611032532,43.90532544
1333.107604,2.997030335,47.24158534,36.65106552,6.791475802,4.506074487,1.288955305
1049.107598,4.208780521,78.83357268,17.93920536,0.638263922,0.598372427,4.394485212
1860.107609,4.094863748,53.683719,15.14475459,26.64729688,0.430631939,3.544707091
2721.125735,4.613324609,66.58018285,32.5179145,0.484309365,0.046948357,2.047492401
